description,category
"Anxiety, nervousness, worry, or fear",Anxious Feelings
"Feeling that things around you are strange, unreal, or foggy",Anxious Feelings
Feeling detached from all or part of your body,Anxious Feelings
Sudden unexpected panic spells,Anxious Feelings
Apprehension or a sense of impending doom,Anxious Feelings
"Feeling tense, stressed, , ""uptight"", or on edge",Anxious Feelings
Difficulty concentrating,Anxious Thoughts
Racing thoughts or having your mind jump from one thing to the next,Anxious Thoughts
Frightening fantasies or daydreams,Anxious Thoughts
Feeling that you're on the verge of losing control,Anxious Thoughts
Fears of cracking up or going crazy,Anxious Thoughts
Fears of fainting or passing out,Anxious Thoughts
Fears of physical illnesses or heart attacks or dying,Anxious Thoughts
Concerns about looking foolish or inadequate in front of others,Anxious Thoughts
"Fears of being alone, isolated, or abandoned",Anxious Thoughts
Fears of criticism or disapproval,Anxious Thoughts
Fears that something terrible is about to happen,Anxious Thoughts
"Skipping or racing or pounding of the heart (sometimes called ""palpitations"")",Physical Symptoms
"Pain, pressure, or tightness in the chest",Physical Symptoms
Tingling or numbness in the toes or fingers,Physical Symptoms
Butterflies or discomfort in the stomach,Physical Symptoms
Constipation or diarrhea,Physical Symptoms
Restlessness or jumpiness,Physical Symptoms
"Tight, tense muscles",Physical Symptoms
Sweating not brought on by heat,Physical Symptoms
A lump in the throat,Physical Symptoms
Trembling or shaking,Physical Symptoms
"Rubbery or ""jelly"" legs",Physical Symptoms
"Feeling dizzy, lightheaded, or off balance",Physical Symptoms
Choking or smothering sensations or difficulty breathing,Physical Symptoms
Headaches or pains in the neck or back,Physical Symptoms
Hot flashes or cold chills,Physical Symptoms
"Feeling tired, weak, or easily exhausted",Physical Symptoms
